seed,heterogeneity_cv,budget_label,budget_fidelity,budget_cost,budget_rate,link_label,link_fidelity,link_cost,link_rate,link_feasible,rate_improvement_pct
0,0.6498805149065862,"beam.span.((hop0.n3.XZ_YY+(hop1.n3.XZ_XZ+(hop2.n2.XZ+(hop3.n2.XZ+hop4.n2.XZ))))+pump[ZX](hop5.n2.YY,hop5.n2.YY))",0.9025726211931435,32,2406.217170320392,link.n3.XZ_YY,0.9321411598097077,36,1861.2121614012347,True,29.28226132526688
1,0.8674660331536795,"beam.span.((pump[ZX](hop0.n2.YY,hop0.n2.YY)+((hop1.n3.ZX_YY+(hop2.n2.YY+hop3.n2.YY))+pump[ZX](hop4.n2.YY,hop4.n2.YY)))+pump[ZX](hop5.n2.YY,hop5.n2.YY))",0.9010772059908605,38,5793.502211484921,link.n3.XZ_YY,0.9348363319730456,36,4556.609826889204,True,27.14501420105444
2,0.7284874057367057,"beam.span.(pump[YY](hop0.n2.XZ,hop0.n2.XZ)+(pump[YY](hop1.n2.XZ,hop1.n2.XZ)+(hop2.n3.XZ_YY+((hop3.n2.YY+hop4.n2.YY)+hop5.n2.YY))))",0.9013063994037939,34,3725.0977412564553,link.n3.YY_XZ,0.9026172354052919,36,2948.621982051535,True,26.333513211641968
3,0.4605413147938253,link.n3.XZ_YY,0.9335912926552604,36,2372.300368473774,link.n3.XZ_YY,0.9335912926552604,36,2372.300368473774,True,0.0
4,0.2485950486563657,link.n2.YY,0.903728568639919,24,6787.88471927534,link.n2.YY,0.903728568639919,24,6787.88471927534,True,0.0
5,0.8546551303484419,link.n3.XZ_YY,0.9351998888258035,36,2827.5073207931223,link.n3.XZ_YY,0.9351998888258035,36,2827.5073207931223,True,0.0
6,0.6318545258361132,"beam.span.((hop0.n3.ZX_YY+(hop1.n3.XZ_YY+((hop2.n2.YY+hop3.n2.YY)+hop4.n2.YY)))+pump[YY](hop5.n2.XZ,hop5.n2.XZ))",0.9000461919148827,32,4371.665294598901,link.n3.XZ_YY,0.9349361868757757,36,3181.6279270058935,True,37.4034109234421
7,1.0674757143225582,link.n2.YY,0.9029309262584214,24,6752.1713677492435,link.n2.YY,0.9029309262584214,24,6752.1713677492435,True,0.0
8,0.5619214916145329,link.n3.XZ_YY,0.9357286957075289,36,3066.612376220886,link.n3.XZ_YY,0.9357286957075289,36,3066.612376220886,True,0.0
9,0.834308872442413,"beam.span.(pump[ZX](hop0.n2.YY,hop0.n2.YY)+(hop1.n3.XZ_YY+(((hop2+hop3.n2.XZ)+hop4.n2.XZ)+hop5.n2.XZ)))",0.9018857391889862,28,5221.811111611279,link.n3.YY_XZ,0.9256035056109735,36,4210.176007555427,True,24.02833283550163
10,0.557216018903296,link.n3.XZ_YY,0.9266920710954047,36,1899.4596718921828,link.n3.XZ_YY,0.9266920710954047,36,1899.4596718921828,True,0.0
11,0.6211742767520575,"beam.span.((((hop0.n3.XZ_YY+(hop1.n2.YY+hop2.n2.YY))+hop3.n3.ZX_YY)+pump[ZX](hop4.n2.YY,hop4.n3.XZ_YY))+pump[ZX](hop5.n2.YY,hop5.n3.XZ_YY))",0.9000495979651134,40,2429.092253389731,link.n3.XZ_YY,0.926324670939853,36,2407.9146562782653,True,0.8794994895790165
12,0.5253010836252003,"beam.span.(pump[XZ](hop0.n3.ZX_YY,hop0.n3.XZ_XZ)+(hop1.n2.XZ+(hop2.n2.XZ+((hop3.n2.XZ+hop4.n2.XZ)+hop5.n2.XZ))))",0.9017659101189327,32,6301.265833250985,link.n3.ZX_YY,0.90158896061685,36,4566.731789867064,True,37.98195565661657
13,0.4971424718231124,"beam.span.((hop0.n2.XZ+(hop1.n3.XZ_XZ+(hop2.n2.XZ+(hop3.n2.XZ+hop4.n2.XZ))))+pump[ZX](hop5.n2.YY,hop5.n2.YY))",0.901199721055552,30,4510.3909435571995,link.n3.YY_XZ,0.9187955827599065,36,3297.768241876173,True,36.77101035429764
14,0.5638140286797972,"beam.span.(pump[YY](hop0.n2.XZ,hop0.n2.XZ)+(hop1.n3.XZ_YY+(hop2.n2.YY+((hop3.n2.YY+hop4.n2.YY)+hop5.n2.YY))))",0.9049422656359892,30,4684.574633245675,link.n3.YY_XZ,0.9088995267088795,36,3539.1107277663687,True,32.365867970518124
15,0.461470920967309,"beam.span.(pump[XZ](hop0.n2.YY,hop0.n3.XZ_YY)+(hop1.n3.XZ_YY+(hop2.n2.YY+(hop3.n2.YY+(hop4.n2.YY+hop5.n2.YY)))))",0.9034644714368926,32,3399.7270242384193,link.n3.YY_XZ,0.9159399907394046,36,2446.827994672373,True,38.94425891974635
16,0.494548311661569,"beam.span.(pump[ZX](hop0.n3.XZ_YY,hop0.n3.XZ_YY)+(pump[YY](hop1.n2.XZ,hop1.n2.XZ)+((hop2.n2.YY+(hop3.n2.YY+hop4.n2.YY))+hop5.n3.XZ_YY)))",0.9002918103259148,38,3435.032037757177,link.n3.XZ_YY,0.9317268907784232,36,3045.3504404349824,True,12.795952549439082
17,0.6424531516900922,"beam.span.(pump[YY](hop0.n2.XZ,hop0.n2.XZ)+(hop1.n3.ZX_YY+((hop2.n2.YY+hop3.n2.YY)+(hop4.n2.YY+hop5.n2.YY))))",0.9008752552649743,30,5094.373918713627,link.n3.YY_XZ,0.9173508856760909,36,3694.9595276349323,True,37.873605397091616
18,0.3401334683114408,"beam.span.(pump[ZX](hop0.n2.YY,hop0.n2.YY)+(hop1.n3.XZ_XZ+(((hop2.n2.XZ+hop3.n2.XZ)+hop4.n2.XZ)+hop5.n2.XZ)))",0.9020904144688977,30,4735.363007546374,link.n3.YY_XZ,0.9194550564679722,36,3445.265575336038,True,37.44551483769156
19,0.6736070057508395,beam.span.(hop0.n2.YY+(((hop1.n2.YY+hop2.n2.YY)+hop3.n2.YY)+(hop4.n2.YY+hop5.n2.YY))),0.9006746143092959,24,7194.044564703688,link.n2.YY,0.9006746143092954,24,7194.044564703686,True,2.220446049250313e-14
20,0.45301058269883493,link.n2.YY,0.9054465747667112,24,5807.142640585919,link.n2.YY,0.9054465747667112,24,5807.142640585919,True,0.0
