label,role,resource_cost,fidelity,success_prob,rate,pareto_f_vs_c,pareto_f_vs_r
end_heralded.n4.XZ_ZX_YY,other,48,0.9499860168479674,0.6592340450972894,1569.6048692792606,False,False
end_heralded.n4.XZ_ZX_ZX,other,48,0.9499860168479674,0.6592340450972894,1569.6048692792606,False,False
end_heralded.n4.YY_ZX_YY,other,48,0.9527395290802503,0.6552246558336647,1560.0587043658684,False,False
end_heralded.n4.YY_ZX_ZX,other,48,0.9527395290802503,0.6552246558336647,1560.0587043658684,False,False
end_heralded.n4.YY_XZ_YY,other,48,0.9527395290802503,0.6552246558336647,1560.0587043658684,False,False
end_heralded.n4.YY_XZ_XZ,other,48,0.9527395290802503,0.6552246558336647,1560.0587043658684,False,False
end_heralded.n4.ZX_YY_ZX,other,48,0.9527395290802503,0.6552246558336647,1560.0587043658684,False,False
end_heralded.n4.ZX_YY_XZ,other,48,0.9527395290802503,0.6552246558336647,1560.0587043658684,False,False
end_heralded.n4.ZX_ZX_YY,other,48,0.9527395290802503,0.6552246558336647,1560.0587043658684,False,False
end_heralded.n4.ZX_ZX_ZX,other,48,0.9527395290802503,0.6552246558336647,1560.0587043658684,False,False
end_heralded.n4.XZ_YY_ZX,other,48,0.9527395290802503,0.6552246558336647,1560.0587043658684,False,False
end_heralded.n4.XZ_YY_XZ,other,48,0.9527395290802503,0.6552246558336647,1560.0587043658684,False,False
end_heralded.n4.XZ_XZ_YY,other,48,0.9527395290802503,0.6552246558336647,1560.0587043658684,False,False
end_heralded.n4.XZ_XZ_XZ,other,48,0.9527395290802503,0.6552246558336647,1560.0587043658684,False,False
end_heralded.n5.YY_YY_YY_YY,other,60,0.8288857966028699,0.6794383449819462,1258.2191573739744,False,False
end_heralded.n5.ZX_ZX_ZX_ZX,other,60,0.9542958557872127,0.5812154889402288,1076.3249795189422,False,False
end_heralded.n5.YY_ZX_YY_XZ,other,60,0.9542958557872127,0.5812154889402288,1076.3249795189422,False,False
end_heralded.n5.XZ_XZ_XZ_XZ,other,60,0.9542958557872127,0.5812154889402288,1076.3249795189422,False,False
end_heralded.n6.YY_YY_YY_YY_YY,other,72,0.8024574132030818,0.6288954227837933,952.871852702717,False,False
end_heralded.n6.ZX_ZX_ZX_ZX_ZX,other,72,0.9544767616913464,0.516308838529114,782.286118983506,False,False
end_heralded.n6.XZ_XZ_XZ_XZ_XZ,other,72,0.9544767616913464,0.516308838529114,782.286118983506,False,False
end_heralded.n6.YY_ZX_YY_XZ_YY,other,72,0.9544767616913464,0.516308838529114,782.286118983506,False,False
end_heralded.n7.YY_YY_YY_YY_YY_YY,other,84,0.7781507749026045,0.5821140019298199,746.300002474128,False,False
end_heralded.n7.ZX_ZX_ZX_ZX_ZX_ZX,other,84,0.9545494822359093,0.4587012436506582,588.0785175008438,False,False
end_heralded.n7.YY_ZX_YY_XZ_YY_ZX,other,84,0.9545494822359093,0.4587012436506582,588.0785175008438,False,False
end_heralded.n7.XZ_XZ_XZ_XZ_XZ_XZ,other,84,0.9545494822359093,0.4587012436506582,588.0785175008438,False,False
